,Tender,Company,Procurement,Notice,Closing,Location,Value,Date
0,"Path-Safe Workstream 3a Horizon scanning and technology readiness level study, with in-field testing of rapid diagnostic technology",The Food Standards Agency,  Opportunity,  Open,"  11 July 2022, 12pm",  Any region,  £0,"  30 May 2022, last edited 15 June 2022"
1,Research into the socioeconomic impacts of incinerating POPs contaminated soft furnishing waste,Defra Network eTendering Portal,  Opportunity,  Open,"  18 July 2022, 12pm",  London,  £0,  15 June 2022
2,21/015 Refurbishment of Castle Grounds Tennis Courts,Tamworth Borough Council,  Opportunity,  Open,"  13 July 2022,  2pm",  B79 7BZ,  £0,  15 June 2022
3,CHANGING PLACES TOILET (POD),Mendip District Council,  Opportunity,  Open,"   4 July 2022,  5pm",  South West,"  £50,000",  15 June 2022
4,TC1055 Reissued Contract Management System (CMS),Manchester City Council,  Opportunity,  Open,"  15 July 2022, 11am",  United Kingdom,"  £500,000",  15 June 2022
5,Provision of Push Notification Services,The British Broadcasting Corporation (BBC),  Opportunity,  Open,"  15 July 2022,  4pm",  Any region,"  £3,000,000",  15 June 2022
6,Ageing Well Exhibition,Bedford Borough Council,  Opportunity,  Open,"  22 June 2022, 12pm",  Mk42 9AP,  £0,  15 June 2022
7,Refurbishment to Gents Toilets and Performers  Changing Rooms,Dudley Metropolitan Borough Council,  Opportunity,  Open,"  22 June 2022, 12pm",  DY1 1HF,  £0,"  25 May 2022, last edited 15 June 2022"
8,DHSC OHID UK Overseas Territories - Mental Health Anti-stigma strengthening,DHSC,  Early engagement,  Open,  29 June 2022,  SW1H 0EU,Publication date 15 June 2022,None
9,BBV HS2 MWCC North - Haulage Aggregates (Tippers),Balfour Beatty Vinci HS2,  Opportunity,  Open,"  23 June 2022,  5pm",  Any region,"  £40,000,000 to £50,000,000",  15 June 2022
10,Supplementary Archaeology - Thickthorn,GALLIFORD TRY INFRASTRUCTURE LIMITED,  Early engagement,  Open,  24 June 2022,  East of England,Publication date 15 June 2022,None
11,"DUD - Tender for the Design and Provision of Major Adaptations together with all associated works to Privately Owned, Privately Rented and Housing Association Rented Homes within the Borough of Dudley",Dudley Metropolitan Borough Council,  Opportunity,  Open,"  20 July 2022, 12pm",  DY1 1HF,"  £2,500,000 to £3,000,000",  15 June 2022
12,NHS Devon CCG - Market Engagement for Community Minor Injuries Services in Devon,"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",  Early engagement,  Open,   6 July 2022,  South West,Publication date 15 June 2022,None
13,LEAP Facilitation Consultants,The University of Central Lancashire,  Opportunity,  Open,"  22 July 2022, 10am",  PR1 2HE,"  £35,000",  15 June 2022
14,Supply of Media Preparator and Plate Stacker,DEPARTMENT FOR ENVIRONMENT FOOD & RURAL AFFAIRS,  Opportunity,  Open,"  30 June 2022,  4pm",  United Kingdom,"  £45,000 to £50,000","   9 June 2022, last edited 15 June 2022"
15,"Relocation of Council Chamber At 2013 Mill Lane, Wingerworth, Chesterfield, S42 6NG",Bolsover District Council,  Opportunity,  Open,"   8 July 2022, 12:24pm",  S42 6NG,  £0,  15 June 2022
16,Whitby Cliff Lift Transport Scheme,Scarborough Borough Council,  Opportunity,  Open,"  29 June 2022, 12pm",  Yorkshire and the Humber,"  £0 to £35,000",  15 June 2022
17,"The Humber Centre - Early Works Package 2 - Reception, Clinic & Bank",HUMBER TEACHING NHS FOUNDATION TRUST,  Opportunity,  Open,"  15 July 2022, 12pm",  Yorkshire and the Humber,  £0,  15 June 2022
18,GB-Kings Lynn: Employers Agent and Clerk of Works services,Freebridge Community Housing Limited,  Opportunity,  Open,"   6 July 2022, 12pm",  East of England,"  £100,000 to £500,000",  15 June 2022
